"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","1","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","3","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","3","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","1","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","2","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","0","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","0","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","1","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","1","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","2","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","0","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","0","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","0","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","0","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Whooping cough [A37]","Number of deaths","Number","223","units","0","v41341048","1.1.1.4.2","8","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","47","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","46","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","46","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","46","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","45","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","44","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","43","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","44","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","43","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","46","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","46","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","45","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","47","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","45","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","45","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Rank of leading causes of death","Number","223","units","0","v41341049","1.1.1.5.1","45","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","1","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","1","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","1","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","1","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","0","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","1","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","1","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Scarlet fever and erysipelas [A38, A46]","Number of deaths","Number","223","units","0","v41341050","1.1.1.5.2","2","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","39","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","40","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","40","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Meningococcal infection [A39]","Rank of leading causes of death","Number","223","units","0","v41341051","1.1.1.6.1","39","","","","0"
